"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1","pvista","pprazo","blmargem","encomenda","local","perecivel","venclote"
0,"*","DIVERSOS",0.00,0.00,0,"",0,2.00,,,0,0,"",,,,"","","","*",,,"0000","000",4371.00,"*",1,"",1,0,"99999999","1800","UND","0000",0.000,"*",0.00,-8.00,8.00,"0",0,0,5102,0,0,"*",0.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
9316,"","azeitona verde c/c larioja sachet 100g",0.00,1.32,37,"SISTEMA",0,1.32,1.32,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"0","000",0.00,"*",1,"CESTA BASICA        ",7836,0,"20057000","0,00","UND","0000",0.000,"*",0.00,0.00,0.00,"1709600",0,60,5405,5,3,"*",0.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
11751,"11751","Perfil de Vedação Rodinho PVC 1mt - PC079",33.00,24.00,63,"SISTEMA",0,33.00,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","000",-1.00,"*",1,"IDEIA GLASS         ",10301,0,"39162000","1800","UND","0000",0.000,"*",0.00,0.00,0.00,"0",0,0,5102,0,0,"*",-1.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
11750,"11750","P-218 Perfil H Frontal 3.0 Dourado - AL038",103.00,75.00,63,"FINANCEIRO",0,103.00,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","040",2.00,"*",1,"IDEIA GLASS         ",10300,0,"76042920","0000","UND","0000",0.000,"*",0.00,0.00,0.00,"0",0,0,5102,0,0,"*",2.00,139835,0,1,2.00,0.00,0.00,0,0,"*","N","0000-00-00"
5,"5","AL 1002 BC Botão de Correção Simples ",2.52,1.68,9,"FINANCEIRO",0,2.52,0,0,102,0,"*",1.73,0,0.00,"*","*","*","*",1.52,0,"Ok 2022","060",-11.00,"*",1,"AL INDÚSTRIA        ",6,1,"39252000","1800","UND","0000",0.000,"*",58.00,88.00,-41.00,"1001800",0,60,5405,5,3,"*",3237.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
6,"6","AL 1002 NF Botão de Correção Simples",2.52,1.68,9,"FINANCEIRO",0,2.52,0,0,10,0,"*",1.73,0,0.00,"*","*","*","*",1.52,0,"OK 2022","060",304.00,"*",1,"AL INDÚSTRIA        ",7,1,"39252000","1800","UND","0000",0.000,"*",472.00,504.00,-2.00,"1001800",0,0,5102,0,0,"*",3629.00,999999,0,1,304.00,0.00,0.00,0,0,"*","N","0000-00-00"
8191,"8191","AG 01 BC Conexão Angular 1 - TM",26.37,16.48,26,"ALLINE",0,26.37,60,60,0,0,"*",23.07,40,0.00,"*","*","*","*",0.00,0,"OK 2022","060",6.00,"*",1,"T&M ACESSÓRIOS      ",6645,1,"76109000","1800","UND","0000",0.000,"*",298.00,469.00,-98.00,"1007100",0,60,5405,5,3,"*",0.00,139835,0,1,41.00,0.00,0.00,0,0,"*","N","0000-00-00"
8,"8","AL 1002 PT Botão de Correção Simples",2.52,1.68,9,"COMPRAS",0,2.52,50,50,10,0,"*",2.10,25,0.00,"*","*","*","*",1.52,0,"OK 2022","060",-2.00,"*",1,"AL INDÚSTRIA        ",9,1,"39252000","1800","UND","0000",0.000,"*",193.00,416.00,-100.00,"1001800",0,60,5405,5,3,"*",3567.00,143130,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
9,"9","AL 1002A BC Botão de Correção Lâmina",13.91,9.27,9,"FINANCEIRO",0,13.91,0,0,25,0,"*",9.57,0,0.00,"*","*","*","*",4.97,0,"OK 2022","060",147.00,"*",1,"AL INDÚSTRIA        ",10,1,"39252000","1800","UND","0000",0.000,"*",90.00,96.00,-2.00,"1001800",0,60,5405,5,3,"*",1359.00,999999,0,1,147.00,0.00,0.00,0,0,"*","N","0000-00-00"
11,"11","AL 1002A BZ Botão de Correção Lâmina",13.91,9.27,9,"FINANCEIRO",0,13.91,0,0,10,0,"*",9.57,0,0.00,"*","*","*","*",4.97,0,"OK 2022","060",114.00,"*",1,"AL INDÚSTRIA        ",11,1,"39252000","1800","UND","0000",0.000,"*",112.00,128.00,0.00,"1001800",0,0,5102,0,0,"*",106.00,999999,0,1,114.00,0.00,0.00,0,0,"*","N","0000-00-00"
12,"12","AL 1002A PT Botão de Correção Lâmina",13.91,9.27,9,"COMPRAS",0,13.91,0,0,10,0,"*",9.57,0,0.00,"*","*","*","*",4.97,0,"OK 2022","060",1.00,"*",1,"AL INDÚSTRIA        ",12,1,"39252000","1800","UND","0000",0.000,"*",203.00,-46.00,169.00,"1001800",0,60,5405,5,3,"*",1194.00,138135,0,1,9.00,0.00,0.00,0,0,"*","N","0000-00-00"
13,"13","AL 1002B BC Botão Corr Lâmina c/Calota ",15.96,10.64,9,"FINANCEIRO",0,15.96,50,50,10,0,"*",13.83,30,0.00,"*","*","*","*",5.23,0,"OK 2022","060",79.00,"*",1,"AL INDÚSTRIA        ",13,1,"39252000","1800","UND","0000",0.000,"*",63.00,53.00,18.00,"1001800",0,60,5405,5,3,"*",292.00,143130,0,1,79.00,0.00,0.00,0,0,"*","N","0000-00-00"
14,"14","AL 1002B NF Botão Corr Lâmina c/Calota",15.86,10.57,9,"FINANCEIRO",0,15.86,0,0,10,0,"*",10.91,0,0.00,"*","*","*","*",5.23,0,"OK 2022","060",152.00,"*",1,"AL INDÚSTRIA        ",14,1,"39252000","1800","UND","0000",0.000,"*",29.00,33.00,0.00,"1001800",0,0,5102,0,0,"*",279.00,999999,0,1,152.00,0.00,0.00,0,0,"*","N","0000-00-00"
15,"15","AL 1002B BZ Botão Corr Lâmina c/Calota ",15.86,10.57,9,"FINANCEIRO",0,15.86,0,0,10,0,"*",10.91,0,0.00,"*","*","*","*",5.23,0,"OK 2022","060",45.00,"*",1,"AL INDÚSTRIA        ",15,1,"39252000","1800","UND","0000",0.000,"*",43.00,43.00,0.00,"1001800",0,0,5102,0,0,"*",293.00,999999,0,1,45.00,0.00,0.00,0,0,"*","N","0000-00-00"
16,"16","AL 1002B PT Botão Corr Lâmina c/Calota",15.96,10.64,9,"FINANCEIRO",0,15.96,50,50,10,0,"*",13.83,30,0.00,"*","*","*","*",5.23,0,"OK 2022","060",59.00,"*",1,"AL INDÚSTRIA        ",16,1,"39252000","1800","UND","0000",0.000,"*",53.00,54.00,25.00,"1001800",0,0,5102,0,0,"*",241.00,143130,0,1,59.00,0.00,0.00,0,0,"*","N","0000-00-00"
19,"19","AL 1003 BZ Corr Polímero p/Basculante",4.78,3.16,9,"FINANCEIRO +",0,4.78,0,0,10,0,"*",3.27,0,0.00,"*","*","*","*",3.40,0,"OK 2022","060",-98.00,"*",1,"AL INDÚSTRIA        ",19,1,"39252000","1800","UND","0000",0.000,"*",6.00,22.00,0.00,"1001800",0,0,5102,0,0,"*",2445.00,0,0,1,0.00,0.00,0.00,0,0,"*","N","0000-00-00"
