"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1"
9271,"9271","SM 1013S BC Pivô Invertido p/Dob Inf Z - Glasspeças",6.33,4.22,47,"COMPRAS",0,6.33,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",77.00,"*",1,"GLASSPEÇAS          ",7786,0,"83024100","18","UND","0000",0.000,"*",35.00,32.00,0.00,"1007400",0,60,5405,5,3,"*",-16.00,138135,0,1,83.00
328,"328","SM 1002 BC Botão de Correção Simples - Glasspeças",4.35,2.89,47,"FINANCEIRO",0,4.35,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",1.72,0,"OK 2021","060",274.00,"*",1,"GLASSPEÇAS          ",282,1,"83021000","1800","UND","0000",0.000,"*",256.00,178.00,-75.00,"1007400",0,60,5405,5,3,"*",159.00,138135,0,1,309.00
330,"330","SM 1002 CR Botão de Correção Simples - Glasspecas",4.34,2.89,47,"COMPRAS",0,4.34,50,50,0,0,"*",3.76,30,0.00,"*","*","*","*",1.72,0,"OK 2021","060",701.00,"*",1,"GLASSPEÇAS          ",284,1,"83021000","1800","UND","0000",0.000,"*",301.00,295.00,0.00,"1007400",0,60,5405,5,3,"*",-21.00,138135,0,1,703.00
331,"331","SM 1002 NF Botão de Correção Simples NF - Pegeral",4.35,2.90,47,"FINANCEIRO",0,4.35,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",1.72,0,"Ok 2021","060",112.00,"*",1,"GLASSPEÇAS          ",285,1,"83024100","1800","UND","0000",0.000,"*",98.00,57.00,101.00,"1007400",0,0,5102,0,0,"*",114.00,138135,0,1,112.00
333,"333","SM 1002A BC Botão de Correção Lâmina - Glasspeças",10.07,6.71,47,"COMPRAS",0,10.07,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",4.00,0,"OK 2021","060",181.00,"*",1,"GLASSPEÇAS          ",287,1,"83021000","1800","UND","0000",0.000,"*",122.00,339.00,0.00,"1007400",0,60,5405,5,3,"*",146.00,138135,0,1,157.00
335,"335","SM 1002A CR Botão de Correção Lâmina - Glasspeças",10.07,6.71,47,"COMPRAS",0,10.07,50,50,0,0,"*",8.72,30,0.00,"*","*","*","*",4.00,0,"OK 2021","060",-135.00,"*",1,"GLASSPEÇAS          ",289,1,"83021000","1800","UND","0000",0.000,"*",201.00,189.00,-2.00,"1007400",0,60,5405,5,3,"*",-41.00,138135,0,1,27.00
336,"336","SM 1002A NF Botão de Correção Lâmina - Pegeral",10.08,6.72,47,"FINANCEIRO",0,10.08,50,50,0,0,"*",0.00,0,0.00,"*","*","*","*",4.00,0,"OK 2021","060",55.00,"*",1,"GLASSPEÇAS          ",290,1,"83024100","1800","UND","0000",0.000,"*",43.00,62.00,50.00,"1007400",0,0,5102,0,0,"*",13.00,138135,0,1,70.00
337,"337","SM 1002A PT Botão de Correção Lâmina - Glasspeças",10.07,6.71,47,"COMPRAS",0,10.07,50,50,0,0,"*",8.72,30,0.00,"*","*","*","*",4.00,0,"OK 2021","060",-243.00,"*",1,"GLASSPEÇAS          ",291,1,"83021000","1800","UND","0000",0.000,"*",320.00,53.00,0.00,"1007400",0,60,5405,0,0,"*",-289.00,138135,0,1,0.00
343,"343","SM 1003 BC Corrente p/Basculante - WC",6.02,4.01,47,"COMPRAS",0,6.02,50,50,0,0,"*",5.21,30,0.00,"*","*","*","*",4.72,0,"OK 2022","000",238.00,"*",1,"GLASSPEÇAS          ",297,0,"73158900","1800","UND","0000",0.000,"*",-16.00,-231.00,267.00,"1005500",0,60,5405,5,3,"*",436.00,138135,0,1,200.00
344,"344","SM 1003 BZ Corrente p/Basculante - Glasspeças",6.05,4.01,47,"FINANCEIRO",0,6.05,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",4.72,0,"OK 2022","000",1928.00,"*",1,"GLASSPEÇAS          ",298,0,"73151290","1800","UND","0000",0.000,"*",1189.00,193.00,136.00,"1005500",0,60,5405,5,3,"*",75.00,999999,0,1,1928.00
