"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox"
4008,"4008","Incolor 350 Fixo",106.40,75.81,19,"SISTEMA",0,106.40,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",34.47,0,"OK 2021","060",6.00,"*",1,"VIDRO               ",2903,1,"70071900","1800","UND","0000",0.000,"*",4.00,3.00,-4.00,"1003600",0,60,5405,5,3,"*"
4009,"4009","Incolor 350 Porta",106.40,75.81,19,"SISTEMA",0,106.40,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",34.47,0,"OK 2021","060",27.00,"*",1,"VIDRO               ",2904,1,"70071900","1800","UND","0000",0.000,"*",30.00,26.00,0.00,"1003600",0,60,5405,5,3,"*"
4012,"4012","Incolor 400 Fixo",121.60,86.64,19,"SISTEMA",0,121.60,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",39.40,0,"OK 2021","060",11.00,"*",1,"VIDRO               ",2907,1,"70071900","1800","UND","0000",0.000,"*",33.00,16.00,-8.00,"1003600",0,60,5405,5,3,"*"
4014,"4014","Incolor 400 Porta",121.60,86.64,19,"SISTEMA",0,121.60,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",39.40,0,"OK 2021","060",27.00,"*",1,"VIDRO               ",2909,1,"70071900","1800","UND","0000",0.000,"*",30.00,22.00,-5.00,"1003600",0,0,5102,0,0,"*"
4020,"4020","Incolor 450 Fixo",136.80,97.47,19,"SISTEMA",0,136.80,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",44.33,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",2915,1,"70071900","1800","UND","0000",0.000,"*",21.00,14.00,-7.00,"1003600",0,60,5405,5,3,"*"
4021,"4021","Incolor 450 Porta",136.80,97.47,19,"SISTEMA",0,136.80,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",44.33,0,"OK 2021","060",26.00,"*",1,"VIDRO               ",2916,1,"70071900","1800","UND","0000",0.000,"*",47.00,45.00,-12.00,"1003600",0,60,5405,5,3,"*"
4022,"4022","Incolor 500 Fixo",151.90,108.30,19,"SISTEMA",0,151.90,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",49.25,0,"OK 2021","060",20.00,"*",1,"VIDRO               ",2917,1,"70071900","1800","UND","0000",0.000,"*",44.00,11.00,-11.00,"1003600",0,60,5405,5,3,"*"
4024,"4024","Incolor 500 Porta",151.90,108.30,19,"SISTEMA",0,151.90,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",49.25,0,"OK 2021","060",13.00,"*",1,"VIDRO               ",2918,1,"70071900","1800","UND","0000",0.000,"*",43.00,13.00,-10.00,"1003600",0,60,5405,5,3,"*"
4025,"4025","Incolor 550 Porta",167.10,119.13,19,"SISTEMA",0,167.10,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",17.30,0,"OK 2021","060",14.00,"*",1,"VIDRO               ",2919,1,"70071900","1800","UND","0000",0.000,"*",49.00,15.00,-10.00,"1003600",0,60,5405,5,3,"*"
4026,"4026","Incolor 550 Fixo",167.10,119.13,19,"SISTEMA",0,167.10,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",54.18,0,"OK 2021","060",27.00,"*",1,"VIDRO               ",2920,1,"70071900","1800","UND","0000",0.000,"*",51.00,18.00,-2.00,"1003600",0,60,5405,5,3,"*"
4027,"4027","Incolor 600 Fixo",182.30,129.96,19,"SISTEMA",0,182.30,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",59.10,0,"OK 2021","060",24.00,"*",1,"VIDRO               ",2921,1,"70071900","1800","UND","0000",0.000,"*",44.00,58.00,-22.00,"1003600",0,60,5405,5,3,"*"
4028,"4028","Incolor 600 Porta",182.30,129.96,19,"SISTEMA",0,182.30,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",59.10,0,"OK 2021","060",35.00,"*",1,"VIDRO               ",2922,1,"70071900","1800","UND","0000",0.000,"*",42.00,40.00,-7.00,"1003600",0,60,5405,5,3,"*"
4030,"4030","Incolor 650 Fixo",197.50,140.79,19,"SISTEMA",0,197.50,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",64.03,0,"OK 2021","060",18.00,"*",1,"VIDRO               ",2924,1,"70071900","1800","UND","0000",0.000,"*",50.00,37.00,-6.00,"1003600",0,60,5405,5,3,"*"
4031,"4031","Incolor 650 Porta",197.50,140.79,19,"SISTEMA",0,197.50,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",64.03,0,"OK 2021","060",19.00,"*",1,"VIDRO               ",2925,1,"70071900","1800","UND","0000",0.000,"*",44.00,35.00,-5.00,"1003600",0,60,5405,5,3,"*"
4032,"4032","Incolor 700 Fixo",212.70,151.62,19,"SISTEMA",0,212.70,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",68.95,0,"OK 2021","060",22.00,"*",1,"VIDRO               ",2926,1,"70071900","1800","UND","0000",0.000,"*",33.00,26.00,-21.00,"1003600",0,60,5405,5,3,"*"
4033,"4033","Incolor 700 Porta",212.70,151.62,19,"SISTEMA",0,212.70,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",68.95,0,"OK 2021","060",13.00,"*",1,"VIDRO               ",2927,1,"70071900","1800","UND","0000",0.000,"*",48.00,31.00,-15.00,"1003600",0,60,5405,5,3,"*"
4034,"4034","Incolor 750 Fixo",227.90,162.45,19,"SISTEMA",0,227.90,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",73.88,0,"OK 2021","060",24.00,"*",1,"VIDRO               ",2928,1,"70071900","1800","UND","0000",0.000,"*",15.00,18.00,-11.00,"1003600",0,60,5405,5,3,"*"
4035,"4035","Incolor 750 Porta",227.90,162.45,19,"SISTEMA",0,227.90,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",73.88,0,"OK 2021","060",27.00,"*",1,"VIDRO               ",2929,1,"70071900","1800","UND","0000",0.000,"*",38.00,26.00,-14.00,"1003600",0,60,5405,5,3,"*"
4037,"4037","Incolor 800 Fixo",243.10,173.28,19,"SISTEMA",0,243.10,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",78.80,0,"OK 2021","060",19.00,"*",1,"VIDRO               ",2931,1,"70071900","1800","UND","0000",0.000,"*",24.00,16.00,-1.00,"1003600",0,60,5405,5,3,"*"
